date,lineage,model_freq,obs_freq,obs_count,dot_size
2021-11-09,EG.1,0.0,,0,
2021-11-10,EG.1,0.0,,0,
2021-11-11,EG.1,0.0,,0,
2021-11-12,EG.1,0.0,,0,
2021-11-13,EG.1,0.0,,0,
2021-11-14,EG.1,0.0,,0,
2021-11-15,EG.1,0.0,,0,
2021-11-16,EG.1,0.0,,0,
2021-11-17,EG.1,0.0,,0,
2021-11-18,EG.1,0.0,,0,
2021-11-19,EG.1,0.0,,0,
2021-11-20,EG.1,0.0,,0,
2021-11-21,EG.1,0.0,,0,
2021-11-22,EG.1,0.0,,0,
2021-11-23,EG.1,0.0,,0,
2021-11-24,EG.1,0.0,,0,
2021-11-25,EG.1,0.0,,0,
2021-11-26,EG.1,0.0,,0,
2021-11-27,EG.1,0.0,,0,
2021-11-28,EG.1,0.0,,0,
2021-11-29,EG.1,0.0,,0,
2021-11-30,EG.1,0.0,,0,
2021-12-01,EG.1,0.0,,0,
2021-12-02,EG.1,0.0,,0,
2021-12-03,EG.1,0.0,,0,
2021-12-04,EG.1,0.0,,0,
2021-12-05,EG.1,0.0,,0,
2021-12-06,EG.1,0.0,,0,
2021-12-07,EG.1,0.0,,0,
2021-12-08,EG.1,0.0,,0,
2021-12-09,EG.1,0.0,,0,
2021-12-10,EG.1,0.0,,0,
2021-12-11,EG.1,0.0,,0,
2021-12-12,EG.1,0.0,,0,
2021-12-13,EG.1,0.0,,0,
2021-12-14,EG.1,0.0,0.0,0,
2021-12-15,EG.1,0.0,,0,
2021-12-16,EG.1,0.0,,0,
2021-12-17,EG.1,0.0,,0,
2021-12-18,EG.1,0.0,,0,
2021-12-19,EG.1,0.0,,0,
2021-12-20,EG.1,0.0,0.0,0,
2021-12-21,EG.1,0.0,0.0,0,
2021-12-22,EG.1,0.0,0.0,0,
2021-12-23,EG.1,0.0,,0,
2021-12-24,EG.1,0.0,0.0,0,
2021-12-25,EG.1,0.0,,0,
2021-12-26,EG.1,0.0,0.0,0,
2021-12-27,EG.1,0.0,0.0,0,
2021-12-28,EG.1,7.285613e-39,0.0,0,
2021-12-29,EG.1,9.893551e-39,0.0,0,
2021-12-30,EG.1,1.3432686e-38,0.0,0,
2021-12-31,EG.1,1.8234869e-38,0.0,0,
2022-01-01,EG.1,2.4749456e-38,0.0,0,
2022-01-02,EG.1,3.3586277e-38,0.0,0,
2022-01-03,EG.1,4.5570742e-38,0.0,0,
2022-01-04,EG.1,6.1822155e-38,0.0,0,
2022-01-05,EG.1,8.3856996e-38,0.0,0,
2022-01-06,EG.1,1.1372874e-37,0.0,0,
2022-01-07,EG.1,1.5422135e-37,0.0,0,
2022-01-08,EG.1,2.0910288e-37,0.0,0,
2022-01-09,EG.1,2.8347214e-37,0.0,0,
2022-01-10,EG.1,3.8424613e-37,0.0,0,
2022-01-11,EG.1,5.2078376e-37,0.0,0,
2022-01-12,EG.1,7.0574875e-37,0.0,0,
2022-01-13,EG.1,9.562994e-37,0.0,0,
2022-01-14,EG.1,1.2956402e-36,0.0,0,
2022-01-15,EG.1,1.7551943e-36,0.0,0,
2022-01-16,EG.1,2.377492e-36,0.0,0,
2022-01-17,EG.1,3.2200983e-36,0.0,0,
2022-01-18,EG.1,4.360844e-36,0.0,0,
2022-01-19,EG.1,5.9051383e-36,0.0,0,
2022-01-20,EG.1,7.995448e-36,0.0,0,
2022-01-21,EG.1,1.0824505e-35,0.0,0,
2022-01-22,EG.1,1.4653414e-35,0.0,0,
2022-01-23,EG.1,1.9834771e-35,0.0,0,
2022-01-24,EG.1,2.684552e-35,0.0,0,
2022-01-25,EG.1,3.6330966e-35,0.0,0,
2022-01-26,EG.1,4.9163324e-35,0.0,0,
2022-01-27,EG.1,6.652223e-35,0.0,0,
2022-01-28,EG.1,9.0003074e-35,0.0,0,
2022-01-29,EG.1,1.2176016e-34,0.0,0,
2022-01-30,EG.1,1.647099e-34,0.0,0,
2022-01-31,EG.1,2.2278848e-34,0.0,0,
2022-02-01,EG.1,3.0131816e-34,0.0,0,
2022-02-02,EG.1,4.0750243e-34,0.0,0,
2022-02-03,EG.1,5.510533e-34,0.0,0,
2022-02-04,EG.1,7.4510344e-34,0.0,0,
2022-02-05,EG.1,1.0074026e-33,0.0,0,
2022-02-06,EG.1,1.3619407e-33,0.0,0,
2022-02-07,EG.1,1.841087e-33,0.0,0,
2022-02-08,EG.1,2.488598e-33,0.0,0,
2022-02-09,EG.1,3.3635588e-33,0.0,0,
2022-02-10,EG.1,4.5457076e-33,0.0,0,
2022-02-11,EG.1,6.1428003e-33,0.0,0,
2022-02-12,EG.1,8.300397e-33,0.0,0,
2022-02-13,EG.1,1.1214806e-32,0.0,0,
